"PlayerID","Date","Player","Position","TERMS","dummy_Pos","contractYears","dummy_contract","contract_value","dummy_value"
11,"MAY 30 2023","Aaron Hicks","CF","Signed a 1 year $720,000 contract with Baltimore (BAL)",3,1,1,NA,NA
12,"DEC 20 2022","Aaron Judge","CF","Signed a 9 year $360 million contract with New York (NYY)",3,9,2,360,3
13,"NOV 22 2021","Aaron Loup","RP","Signed a 2 year $17 million contract with Los Angeles (LAA)",1,2,1,17,3
23,"JAN 18 2023","Adam Duvall","RF","Signed a 1 year $7 million contract with Boston (BOS)",3,1,1,7,3
25,"JAN 6 2023","Adam Engel","RF","Signed a 1 year $1 million contract with San Diego (SD)",3,1,1,1,1
26,"DEC 16 2022","Adam Frazier","2B","Signed a 1 year $8 million contract with Baltimore (BAL)",2,1,1,8,3
30,"DEC 20 2022","Adam Ottavino","RP","Signed a 2 year $14.5 million contract with New York (NYM)",1,2,1,14.5,3
30,"MAR 13 2022","Adam Ottavino","RP","Signed a 1 year $4 million contract with New York (NYM)",1,1,1,4,2
45,"MAR 28 2022","Albert Pujols","DH","Signed a 1 year $2.5 million contract with St. Louis (STL)",4,1,1,2.5,1
51,"DEC 7 2022","Aledmys Diaz","SS","Signed a 2 year $14.5 million contract with Oakland (OAK)",2,2,1,14.5,3
58,"NOV 29 2021","Alex Cobb","SP","Signed a 2 year $20 million contract with San Francisco (SF)",1,2,1,20,3
59,"MAR 12 2022","Alex Colome","RP","Signed a 1 year $4.1 million contract with Colorado (COL)",1,1,1,4.1,3
61,"MAR 16 2022","Alex Dickerson","LF","Signed a 1 year $1 million contract with Atlanta (ATL)",3,1,1,1,1
66,"FEB 11 2023","Alex Reyes","RP","Signed a 1 year $1.1 million contract with Los Angeles (LAD), including a club option for 2024",1,1,1,1.1,1
70,"NOV 29 2021","Alex Wood","SP","Signed a 2 year $25 million contract with San Francisco (SF)",1,2,1,25,3
79,"MAR 11 2022","Andrelton Simmons","SS","Signed a 1 year $4 million contract with Chicago (CHC)",2,1,1,4,2
82,"DEC 16 2022","Andrew Benintendi","LF","Signed a 5 year $75 million contract with Chicago (CHW)",3,5,2,75,3
83,"FEB 11 2023","Andrew Chafin","RP","Signed a 1 year $6.25 million contract with Arizona (ARI), including a club option for 2024",1,1,1,6.25,3
83,"MAR 16 2022","Andrew Chafin","RP","Signed a 2 year $13 million contract with Detroit (DET)",1,2,1,13,3
84,"DEC 6 2022","Andrew Heaney","SP","Signed a 2 year $25 million contract with Texas (TEX), including a player opt-out available after 2023",1,2,1,25,3
84,"NOV 8 2021","Andrew Heaney","SP","Signed a 1 year $8.5 million contract with Los Angeles (LAD)",1,1,1,8.5,3
86,"APR 6 2022","Andrew Knapp","C","Signed a 1 year $800,000 contract with Pittsburgh (PIT)",2,1,1,NA,NA
88,"JAN 13 2023","Andrew McCutchen","RF","Signed a 1 year $5 million contract with Pittsburgh (PIT)",3,1,1,5,3
88,"MAR 14 2022","Andrew McCutchen","RF","Signed a 1 year $8.5 million contract with Milwaukee (MIL)",3,1,1,8.5,3
92,"MAR 11 2022","Andrew Vasquez","RP","Signed a contract with Toronto (TOR)",1,NA,NA,NA,NA
105,"AUG 28 2022","Anthony Banda","RP","Signed a contract with New York (NYY)",1,NA,NA,NA,NA
110,"NOV 22 2021","Anthony DeSclafani","SP","Signed a 3 year $36 million contract with San Francisco (SF)",1,3,2,36,3
115,"NOV 15 2022","Anthony Rizzo","1B","Signed a 2 year $40 million contract with New York (NYY), including a 3rd year club option",2,2,1,40,3
115,"MAR 16 2022","Anthony Rizzo","1B","Signed a 2 year $32 million contract with New York (NYY)",2,2,1,32,3
121,"MAR 17 2022","Archie Bradley","RP","Signed a 1 year $3.75 million contract with Los Angeles (LAA)",1,1,1,3.75,1
123,"JAN 19 2023","Aroldis Chapman","RP","Signed a 1 year $3.75 million contract with Kansas City (KC)",1,1,1,3.75,1
136,"DEC 20 2022","Austin Hedges","C","Signed a 1 year $5 million contract with Pittsburgh (PIT)",2,1,1,5,3
145,"APR 16 2023","Austin Wynns","C","Signed a 1 year contract with Los Angeles (LAD)",2,1,1,NA,NA
146,"NOV 28 2021","Avisail Garcia","RF","Signed a 4 year $53 million contract with Miami (MIA)",3,4,2,53,3
165,"DEC 15 2022","Brad Boxberger","RP","Signed a 1 year $2.8 million contract with Chicago (CHC), including a mutual option for 2024",1,1,1,2.8,1
165,"MAR 13 2022","Brad Boxberger","RP","Signed a 1 year $2.5 million contract with Milwaukee (MIL)",1,1,1,2.5,1
167,"MAR 4 2023","Brad Hand","RP","Signed a 1 year $2 million contract with Colorado (COL)",1,1,1,2,1
167,"MAR 14 2022","Brad Hand","RP","Signed a 1 year $6 million contract with Philadelphia (PHI)",1,1,1,6,3
169,"MAR 17 2022","Brad Miller","LF","Signed a 2 year $10 million contract with Texas (TEX)",3,2,1,10,3
176,"JAN 9 2023","Brandon Belt","1B","Signed a 1 year $9.3 million contract with Toronto (TOR)",2,1,1,9.3,3
181,"DEC 20 2022","Brandon Drury","2B","Signed a 2 year $17 million contract with Los Angeles (LAA)",2,2,1,17,3
185,"DEC 8 2022","Brandon Nimmo","CF","Signed an 8 year $162 million contract with New York (NYM)",3,8,2,162,3
198,"JAN 9 2023","Brett Phillips","RF","Signed a 1 year $1.2 million contract with Los Angeles (LAA)",3,1,1,1.2,1
201,"JAN 17 2023","Brian Anderson","3B","Signed a contract with Milwaukee (MIL)",2,NA,NA,NA,NA
208,"NOV 29 2021","Brooks Raley","RP","Signed a 2 year $10 million contract with Tampa Bay (TB)",1,2,1,10,3
218,"MAR 23 2022","Bryan Shaw","RP","Signed a 1 year $3 million contract with Cleveland (CLE)",1,1,1,3,1
221,"MAR 16 2022","Buck Farmer","RP","Signed a contract with Cincinnati (CIN)",1,NA,NA,NA,NA
237,"JAN 15 2023","Carlos Correa","SS","Signed a 6 year, $200M contract with Minnesota, including 4 additional vesting years at $70M",2,6,2,NA,NA
237,"MAR 19 2022","Carlos Correa","SS","Signed a 3 year $105.3 million contract with Minnesota (MIN)",2,3,2,105.3,3
238,"DEC 5 2022","Carlos Estevez","RP","Signed a 2 year $13.5 million contract with Los Angeles (LAA)",1,2,1,13.5,3
241,"DEC 15 2022","Carlos Rodon","SP","Signed a 6 year $162 million contract with New York (NYY). The deal includes a full no-trade clause.",1,6,2,162,3
241,"MAR 11 2022","Carlos Rodon","SP","Signed a 2 year $44 million contract with San Francisco (SF)",1,2,1,44,3
242,"NOV 25 2022","Carlos Santana","1B","Signed a 1 year $6.725 million contract with Pittsburgh (PIT)",2,1,1,6.725,3
244,"AUG 19 2023","Carson Kelly","C","Signed a contract with Detroit (DET)",2,NA,NA,NA,NA
250,"JAN 31 2023","Chad Green","RP","Signed a 2 year $8.5 million contract with Toronto (TOR), including conditional options through 2026",1,2,1,8.5,3
251,"MAR 14 2022","Chad Kuhl","RP","Signed a 1 year $3 million contract with Colorado (COL)",1,1,1,3,1
266,"MAR 28 2022","Chris Archer","SP","Signed a 1 year $3.75 million contract with Minnesota (MIN)",1,1,1,3.75,1
267,"DEC 12 2022","Chris Bassitt","SP","Signed a 3 year $63 million contract with Toronto (TOR)",1,3,2,63,3
268,"AUG 29 2023","Chris Devenski","RP","Signed a contract with Tampa Bay (TB)",1,NA,NA,NA,NA
272,"DEC 2 2022","Chris Martin","RP","Signed a 2 year $13.5 million contract with Boston (BOS)",1,2,1,13.5,3
272,"MAR 17 2022","Chris Martin","RP","Signed a 1 year $2.75 million contract with Chicago (CHC)",1,1,1,2.75,1
279,"DEC 1 2021","Chris Taylor","3B","Signed a 4 year $60 million contract with Los Angeles (LAD)",2,4,2,60,3
281,"DEC 12 2022","Christian Vazquez","C","Signed a 3 year $30 million contract with Minnesota (MIN)",2,3,2,30,3
287,"DEC 5 2022","Clayton Kershaw","SP","Signed a 1 year $20 million contract with Los Angeles (LAD)",1,1,1,20,3
287,"MAR 11 2022","Clayton Kershaw","SP","Signed a 1 year $17 million contract with Los Angeles (LAD)",1,1,1,17,3
288,"NOV 30 2021","Clint Frazier","OF","Signed a 1 year $1.5 million contract with Chicago (CHC)",3,1,1,1.5,1
290,"DEC 6 2022","Cody Bellinger","CF","Signed a 1 year $17.5 million contract with Chicago (CHC), including a mutual option for 2024",3,1,1,17.5,3
299,"MAR 17 2022","Colin Moran","1B","Signed a 1 year $1 million contract with Cincinnati (CIN)",2,1,1,1,1
301,"MAR 15 2022","Collin McHugh","RP","Signed a 2 year $10 million contract with Atlanta (ATL)",1,2,1,10,3
314,"JAN 10 2023","Corey Dickerson","LF","Signed a 1 year $2.25 million contract with Washington (WSH)",3,1,1,2.25,1
314,"MAR 17 2022","Corey Dickerson","LF","Signed a 1 year $5 million contract with St. Louis (STL)",3,1,1,5,3
315,"DEC 28 2022","Corey Kluber","SP","Signed a 1 year $10 million contract with Boston (BOS), including an $11M club option for 2024",1,1,1,10,3
315,"NOV 28 2021","Corey Kluber","SP","Signed a 1 year $8 million contract with Tampa Bay (TB)",1,1,1,8,3
316,"DEC 1 2021","Corey Knebel","RP","Signed a 1 year $10 million contract with Philadelphia (PHI)",1,1,1,10,3
319,"NOV 29 2021","Corey Seager","SS","Signed a 10 year $325 million contract with Texas (TEX)",2,10,2,325,3
321,"DEC 23 2022","Craig Kimbrel","RP","Signed a 1 year $10 million contract with Philadelphia (PHI)",1,1,1,10,3
326,"DEC 22 2022","Curt Casali","C","Signed a 1 year $3.25 million contract with Cincinnati (CIN), including a mutual option for 2024",2,1,1,3.25,1
328,"NOV 30 2021","Cesar Hernandez","2B","Signed a 1 year $4 million contract with Washington (WSH)",2,1,1,4,2
343,"NOV 29 2021","Daniel Hudson","RP","Signed a 1 year $7 million contract with Los Angeles (LAD)",1,1,1,7,3
346,"MAR 17 2022","Daniel Norris","RP","Signed a 1 year $1.75 million contract with Chicago (CHC)",1,1,1,1.75,1
352,"MAR 18 2022","Danny Duffy","SP","Signed a 1 year $3 million contract with Los Angeles (LAD)",1,1,1,3,1
354,"DEC 21 2022","Danny Mendick","2B","Signed a 1 year $1 million contract with New York (NYM)",2,1,1,1,1
356,"DEC 17 2022","Dansby Swanson","SS","Signed a 7 year $177 million contract with Chicago (CHC). The deal includes a full no-trade clause.",2,7,2,177,3
358,"MAY 15 2023","Darin Ruf","1B","Signed a contract with Milwaukee (MIL)",2,NA,NA,NA,NA
372,"FEB 10 2023","David Peralta","LF","Signed a 1 year $6.5 million contract with Los Angeles (LAD)",3,1,1,6.5,3
376,"DEC 8 2022","David Robertson","RP","Signed a 1 year $10 million contract with New York (NYM)",1,1,1,10,3
376,"MAR 16 2022","David Robertson","RP","Signed a 1 year $3.5 million contract with Chicago (CHC)",1,1,1,3.5,1
407,"JAN 3 2023","Dominic Smith","1B","Signed a 1 year $2 million contract with Washington (WSH)",2,1,1,2,1
408,"FEB 22 2023","Donovan Solano","2B","Signed a 1 year $2 million contract with Minnesota (MIN)",2,1,1,2,1
408,"MAR 16 2022","Donovan Solano","2B","Signed a 1 year $4.5 million contract with Cincinnati (CIN)",2,1,1,4.5,3
418,"DEC 18 2022","Drew Smyly","SP","Signed a 2 year $19 million contract with Chicago (CHC), plus a $10M mutual option for 2025",1,2,1,19,3
418,"MAR 19 2022","Drew Smyly","SP","Signed a 1 year $5.25 million contract with Chicago (CHC)",1,1,1,5.25,3
425,"DEC 1 2021","Dylan Bundy","SP","Signed a 1 year $5 million contract with Minnesota (MIN)",1,1,1,5,3
432,"MAR 16 2022","Eddie Rosario","LF","Signed a 2 year $18 million contract with Atlanta (ATL) - includes 2024 Club Option",3,2,1,18,3
438,"NOV 26 2021","Eduardo Escobar","3B","Signed a 2 year $20 million contract with New York (NYM)",2,2,1,20,3
439,"NOV 15 2021","Eduardo Rodriguez","SP","Signed a 5 year $77 million contract with Detroit (DET)",1,5,2,77,3
442,"NOV 6 2022","Edwin Diaz","RP","Signed a 5 year $102 million contract with New York (NYM). Largest total value contract ($102M) for a relief pitcher at the time of signing. The deal includes an opt-out after 2025, a full no-trade clause & a $20M sixth-year club option that raises the max-value to $122M.",1,5,2,102,3
443,"FEB 17 2023","Edwin Rios","3B","Signed a 1 year $1 million contract with Chicago (CHC)",2,1,1,1,1
445,"MAR 13 2022","Ehire Adrianza","SS","Signed a 1 year $1.5 million contract with Washington (WSH)",2,1,1,1.5,1
451,"FEB 19 2023","Elvis Andrus","SS","Signed a 1 year $3 million contract with Chicago (CHW)",2,1,1,3,1
451,"AUG 18 2022","Elvis Andrus","SS","Signed a contract with Chicago (CHW)",2,NA,NA,NA,NA
459,"DEC 20 2022","Erasmo Ramirez","RP","Signed a 1 year $1 million contract with Washington (WSH)",1,1,1,1,1
463,"JAN 4 2023","Eric Hosmer","1B","Signed a 1 year $720,000 contract with Chicago (CHC)",2,1,1,NA,NA
475,"JAN 5 2023","Evan Longoria","3B","Signed a 1 year $4 million contract with Arizona (ARI)",2,1,1,4,2
482,"MAR 29 2023","Franchy Cordero","RF","Signed a 1 year $1 million contract with New York (NYY)",3,1,1,1,1
489,"MAR 18 2022","Freddie Freeman","1B","Signed a 6 year $162 million contract with Los Angeles (LAD)",2,6,2,162,3
499,"MAR 18 2022","Garrett Richards","SP","Signed a 1 year $5.5 million contract with Texas (TEX), including a club option for 2023",1,1,1,5.5,3
532,"MAR 13 2022","Hanser Alberto","2B","Signed a 1 year $1.6 million contract with Los Angeles (LAD)",2,1,1,1.6,1
536,"MAR 15 2022","Heath Hembree","RP","Signed a contract with Pittsburgh (PIT)",1,NA,NA,NA,NA
537,"NOV 27 2021","Hector Neris","RP","Signed a 2 year $17 million contract with Houston (HOU)",1,2,1,17,3
551,"MAR 22 2022","Hunter Strickland","RP","Signed a 1 year $1.825 million contract with Cincinnati (CIN)",1,1,1,1.825,1
559,"MAR 14 2022","Ian Kennedy","RP","Signed a 1 year $4.75 million contract with Arizona (ARI)",1,1,1,4.75,3
573,"DEC 30 2022","J.D. Martinez","DH","Signed a 1 year $10 million contract with Los Angeles (LAD)",4,1,1,10,3
582,"DEC 6 2022","Jace Peterson","3B","Signed a 2 year $9.5 million contract with Oakland (OAK)",2,2,1,9.5,3
587,"AUG 9 2022","Jackie Bradley Jr.","CF","Signed a 1 year contract with Toronto (TOR)",3,1,1,NA,NA
595,"DEC 2 2022","Jacob deGrom","SP","Signed a 5 year $185 million contract with Texas (TEX). Contract includes a full no trade clause and a 2028 Club Option which can take the maximum value to $222 million.",1,5,2,185,3
600,"MAR 17 2023","Jake Brentz","RP","Signed a 2 year $1.9 million contract with Kansas City (KC)",1,2,1,1.9,1
605,"MAY 9 2023","Jake Diekman","RP","Signed a contract with Tampa Bay (TB)",1,NA,NA,NA,NA
605,"MAR 13 2022","Jake Diekman","RP","Signed a 2 year $8 million contract with Boston (BOS)",1,2,1,8,3
612,"APR 6 2022","Jake Marisnick","CF","Signed a 1 year $1.3 million contract with Pittsburgh (PIT)",3,1,1,1.3,1
614,"JUL 22 2022","Jake McGee","RP","Signed a contract with Milwaukee (MIL)",1,NA,NA,NA,NA
629,"DEC 1 2021","James Paxton","SP","Signed a 1 year $10 million contract with Boston (BOS)",1,1,1,10,3
631,"DEC 7 2022","Jameson Taillon","SP","Signed a 4 year $68 million contract with Chicago (CHC)",1,4,2,68,3
637,"DEC 6 2022","Jarlin Garcia","RP","Signed a 1 year $2.5 million contract with Pittsburgh (PIT), including a $3.25 million club option for 2024",1,1,1,2.5,1
641,"MAR 17 2022","Jason Adam","RP","Signed a 1 year $900k contract with Tampa Bay (TB)",1,1,1,NA,NA
647,"NOV 30 2021","Javier Baez","SS","Signed a 6 year $140 million contract with Detroit (DET)",2,6,2,140,3
654,"DEC 28 2022","Jean Segura","3B","Signed a 2 year $17 million contract with Miami (MIA)",2,2,1,17,3
655,"MAR 26 2022","Jed Lowrie","2B","Signed a 1 year $850,000 contract with Oakland (OAK)",2,1,1,NA,NA
661,"NOV 29 2022","Jeimer Candelario","3B","Signed a 1 year $5 million contract with Washington (WSH)",2,1,1,5,3
665,"MAR 13 2022","Jesse Chavez","RP","Signed a 1 year $1.25 million contract with Chicago (CHC)",1,1,1,1.25,1
668,"JAN 24 2023","Jesus Aguilar","1B","Signed a 1 year $3 million contract with Oakland (OAK)",2,1,1,3,1
672,"MAR 25 2023","Jeurys Familia","RP","Signed a contract with Oakland (OAK)",1,NA,NA,NA,NA
672,"MAR 12 2022","Jeurys Familia","RP","Signed a 1 year $6 million contract with Philadelphia (PHI)",1,1,1,6,3
676,"NOV 13 2021","Jhoulys Chacin","SP","Signed a 1 year $1.25 million contract with Colorado (COL)",1,1,1,1.25,1
680,"FEB 15 2023","Jimmy Nelson","RP","Signed a 1 year $1.2 million contract with Los Angeles (LAD)",1,1,1,1.2,1
680,"MAR 15 2022","Jimmy Nelson","RP","Signed a 1 year $700k contract with Los Angeles (LAD) - includes 2023 Club Option",1,1,1,NA,NA
685,"MAR 16 2022","Joc Pederson","LF","Signed a 1 year $6 million contract with San Francisco (SF)",3,1,1,6,3
689,"MAR 12 2022","Joe Kelly","RP","Signed a 2 year $17 million contract with Chicago (CHW)",1,2,1,17,3
695,"MAR 19 2022","Joe Smith","RP","Signed a 1 year $2.5 million contract with Minnesota (MIN)",1,1,1,2.5,1
697,"NOV 23 2022","Joely Rodriguez","RP","Signed a 1 year $2 million contract with Boston (BOS), including a $4.25M club option for 2024",1,1,1,2,1
697,"NOV 11 2021","Joely Rodriguez","RP","Signed a 1 year $2 million contract with New York (NYY)",1,1,1,2,1
699,"DEC 20 2022","Joey Gallo","1B","Signed a 1 year $11 million contract with Minnesota (MIN)",2,1,1,11,3
704,"DEC 1 2021","Johan Camargo","3B","Signed a 1 year $1.4 million contract with Philadelphia (PHI)",2,1,1,1.4,1
709,"APR 6 2022","John Curtiss","RP","Signed a 1 year $770,000 contract with New York (NYM), including a club option for 2023",1,1,1,NA,NA
717,"JAN 10 2023","Johnny Cueto","SP","Signed a 1 year $8.5 million contract with Miami (MIA), plus a $10.5M club option for 2024",1,1,1,8.5,3
720,"NOV 28 2021","Jon Gray","SP","Signed a 4 year $56 million contract with Texas (TEX)",1,4,2,56,3
732,"JUL 2 2022","Jonathan Villar","SS","Signed a contract with Los Angeles (LAA)",2,NA,NA,NA,NA
732,"MAR 17 2022","Jonathan Villar","SS","Signed a 1 year $6 million contract with Chicago (CHC)",2,1,1,6,3
735,"DEC 19 2022","Jordan Luplow","RF","Signed a 1 year $1.4 million contract with Atlanta (ATL)",3,1,1,1.4,1
736,"DEC 20 2022","Jordan Lyles","SP","Signed a 2 year $17 million contract with Kansas City (KC)",1,2,1,17,3
736,"DEC 1 2021","Jordan Lyles","SP","Signed a 1 year $7 million contract with Baltimore (BAL)",1,1,1,7,3
745,"JUL 6 2023","Jorge Alfaro","C","Signed a contract with Boston (BOS)",2,NA,NA,NA,NA
751,"MAR 19 2022","Jorge Soler","DH","Signed a 3 year $36 million contract with Miami (MIA)",4,3,2,36,3
759,"DEC 6 2022","Josh Bell","1B","Signed a 2 year $33 million contract with Cleveland (CLE), including a player opt-out after 2023",2,2,1,33,3
763,"JAN 30 2023","Josh Harrison","2B","Signed a 1 year $2 million contract with Philadelphia (PHI)",2,1,1,2,1
