"Player","PlayerID","WAR","G","PA","AB","R","H","X1B","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GIDP","HBP","SH","SF","IBB","WAA","oWAR","dWAR","Rbat","Rdp","Rbaser","Rbaser...Rdp","Rfield","Years","Dollars","AvgSalary","Season","game_normal_minmax_salary","game_normal_z_salary"
"Aaron Hicks",9,14.2,963,3588,3078,463,716,473,120,15,108,387,71,26,455,770,0.233,0.332,0.387,0.719,97,1190,46,17,11,27,9,2.1,14.2,0.9,-5,9,9,18,-3,1,740000,740000,2023,0.000476238581097658,-0.805033545365762
"Aaron Judge",10,41.5,835,3619,3005,614,846,448,137,4,257,572,43,16,560,1038,0.282,0.396,0.586,0.982,164,1762,78,24,0,24,48,29.6,35.5,3.1,272,-9,-1,-10,57,9,3.6e+08,4e+07,2022,0.567055835365766,3.07244434725355
"Abraham Almonte",17,1,463,1379,1236,169,288,178,73,13,24,118,27,9,119,327,0.233,0.3,0.371,0.671,81,459,29,4,9,11,1,-3.7,0.9,-0.5,-34,2,2,4,-1,1,990000,990000,2020,0.00408410661971628,-0.780342524653719
"Adam Duvall",21,11.9,922,3393,3090,427,716,356,161,15,184,536,22,12,226,975,0.232,0.291,0.472,0.763,99,1459,38,44,0,32,8,1,6.3,2.9,-9,4,-8,-4,56,1,7e+06,7e+06,2022,0.0908172542681079,-0.186770386736193
"Adam Engel",22,3.1,528,1546,1419,173,318,212,65,11,30,123,47,18,76,452,0.224,0.279,0.349,0.628,72,495,14,33,16,2,1,-2.1,0.9,2.8,-54,3,4,7,20,1,1e+06,1e+06,2022,0.00422842134126102,-0.779354883825237
"Adam Frazier",23,13.9,962,3500,3163,433,850,597,170,27,56,317,52,32,260,456,0.269,0.331,0.393,0.724,98,1242,50,43,18,15,11,2.6,12.1,3,-3,3,-2,1,22,1,4500000,4500000,2023,0.0547385738819217,-0.433680593856628
"Andrew Benintendi",91,16.1,896,3784,3353,468,925,624,203,20,78,429,82,27,361,663,0.276,0.347,0.418,0.765,105,1402,53,24,11,35,14,3.6,13.5,-0.1,22,3,7,10,22,5,7.5e+07,1.5e+07,2022,0.206269031503904,0.603342276049198
"Andrew Knapp",95,-0.9,325,873,750,83,157,109,31,4,13,66,2,0,103,274,0.209,0.31,0.313,0.623,68,235,11,9,5,6,7,-3.7,0.9,-0.5,-34,3,1,4,-16,1,8e+05,8e+05,2021,0.00134212691036613,-0.799107700394872
"Andrew Knizner",96,1.5,255,794,714,84,154,106,31,0,17,76,4,1,62,182,0.216,0.29,0.331,0.621,73,236,29,14,2,2,2,-1.1,1.1,1.8,-26,-4,1,-2,4,1,1825000,1825000,2023,0.0161343858687025,-0.697874515475493
"Andrew McCutchen",97,48.6,2007,8641,7425,1173,2048,1289,411,49,299,1045,216,87,1058,1642,0.276,0.369,0.465,0.835,128,3454,126,85,3,70,68,22,56.9,-8.7,295,8,-7,2,-77,1,5e+06,5e+06,2023,0.0619543099591589,-0.384298552432541
"Anthony Rizzo",124,39.6,1635,6961,5951,884,1567,924,326,22,295,930,72,44,754,1143,0.263,0.364,0.474,0.838,125,2822,142,213,0,43,75,17.9,32.6,-2.2,219,2,-23,-21,70,2,4e+07,2e+07,2022,0.278426392276276,1.09716269029007
"Austin Hedges",142,-1,686,2213,1997,187,377,248,60,2,67,223,13,3,136,601,0.189,0.246,0.321,0.568,55,642,52,22,38,19,11,-8.1,-3.4,6.5,-130,-5,-5,-10,25,1,4e+06,4e+06,2023,0.0475228378046845,-0.483062635280715
"Austin Romine",147,-1.2,484,1449,1352,141,311,215,64,1,31,166,4,1,69,366,0.23,0.268,0.348,0.616,65,470,47,6,10,12,1,-6.1,-0.3,1.7,-65,-5,-5,-10,-11,1,1500000,1500000,2020,0.0114441574184983,-0.72997284240115
"Austin Wynns",152,0.3,231,653,602,63,136,103,20,0,13,61,2,0,35,147,0.226,0.273,0.324,0.597,63,195,28,5,9,2,0,-1.8,0.3,1.4,-27,-4,1,-4,0,1,720000,720000,2022,0.000187609138008168,-0.807008827022725
"Avisaíl García",153,9.4,1086,4247,3899,492,1026,718,153,17,138,522,51,32,261,1025,0.263,0.317,0.417,0.734,100,1627,101,59,0,26,22,-5.1,10.3,-5,7,-2,-6,-8,-12,4,5.3e+07,13250000,2021,0.181013955233573,0.430505131064894
"Blake Perkins",173,1.2,67,168,143,28,31,20,7,0,4,20,5,2,23,46,0.217,0.325,0.35,0.675,86,50,3,0,2,0,0,0.7,0.1,0.9,-3,0,1,1,11,1,720000,720000,2022,0.000187609138008168,-0.807008827022725
"Brad Miller",189,6.4,1055,3531,3132,397,740,454,133,30,123,405,43,18,350,873,0.236,0.314,0.416,0.73,101,1302,40,15,9,23,10,-5.7,14,-6.7,6,8,-5,4,-74,2,1e+07,5e+06,2021,0.0619543099591589,-0.384298552432541
"Brandon Belt",198,29.6,1413,5483,4729,681,1232,712,290,36,194,627,47,21,678,1346,0.261,0.357,0.46,0.817,124,2176,64,48,1,27,36,12.2,25.4,-3.8,161,3,-7,-4,42,1,9300000,9300000,2022,0.124009640223399,0.0403870038146067
"Brandon Drury",202,4,770,2799,2590,309,658,381,163,9,105,360,4,8,161,637,0.254,0.303,0.446,0.749,97,1154,64,29,0,19,3,-5.1,7.3,-3.4,-12,-2,-3,-5,-34,2,1.7e+07,8500000,2022,0.11246446249982,-0.0386242624639325
"Brandon Nimmo",206,21,760,3050,2565,424,692,440,136,29,87,281,26,17,397,675,0.27,0.38,0.447,0.828,130,1147,31,68,8,12,5,11.4,22.2,-0.7,122,3,-5,-1,-9,8,1.62e+08,20250000,2022,0.282034260314895,1.12185371100211
"Brett Phillips",230,5,393,971,854,122,160,95,25,9,31,99,39,6,95,376,0.187,0.272,0.347,0.619,71,296,6,7,9,6,2,1.8,0.7,4,-32,2,9,11,41,1,1200000,1200000,2022,0.00711471577215592,-0.759602067255602
"Brian Anderson",234,10,627,2522,2222,287,559,364,118,11,66,273,14,8,237,611,0.252,0.336,0.404,0.74,102,897,57,52,0,11,8,1.9,9.2,0.7,18,-2,-2,-4,11,1,3500000,3500000,2022,0.0403071017274472,-0.532444676704802
"Carlos Correa",293,40.9,1023,4393,3860,568,1051,652,215,11,173,618,33,9,467,912,0.272,0.351,0.468,0.82,124,1807,127,26,0,40,24,26.3,33.8,13.2,140,-10,-2,-12,68,6,2e+08,33333333,2022,0.470846016192112,2.41401709534436
"Carlos Santana",299,35.5,1930,8186,6879,995,1665,980,367,17,301,1011,54,18,1213,1350,0.242,0.356,0.432,0.787,114,2969,170,34,0,60,62,7.7,35.4,-6.7,142,-4,0,-4,3,1,6725000,6725000,2022,0.0868485994256274,-0.213930509519441
"Carson Kelly",303,3.6,465,1489,1310,158,290,182,62,1,45,170,3,0,149,313,0.221,0.306,0.373,0.679,83,489,40,16,3,11,11,-1.2,3.3,2.8,-33,-4,-1,-5,4,1,720000,720000,2022,0.000187609138008168,-0.807008827022725
"Chris Taylor",348,16.9,978,3538,3139,473,796,476,186,30,104,408,84,21,337,1027,0.254,0.331,0.431,0.763,105,1354,33,37,7,18,10,5.4,16.8,1.3,30,4,11,15,4,4,6e+07,1.5e+07,2021,0.206269031503904,0.603342276049198
"Clint Frazier",364,0,280,928,810,114,190,110,45,6,29,101,12,4,102,269,0.235,0.327,0.412,0.739,99,334,21,11,0,5,1,-3.2,1.9,-3,1,-2,-1,-3,-20,1,1500000,1500000,2021,0.0114441574184983,-0.72997284240115
"Cody Bellinger",367,22.1,875,3540,3126,529,805,444,163,20,178,519,82,20,367,778,0.258,0.335,0.493,0.829,120,1542,42,15,0,31,50,10.7,18.6,2.2,74,7,8,15,38,1,17500000,17500000,2022,0.24234771189009,0.850252483169633
"Colin Moran",381,-0.2,502,1692,1520,167,400,272,75,3,50,239,1,3,142,377,0.263,0.327,0.415,0.743,100,631,42,12,0,18,8,-5.7,3.5,-4.2,-2,0,-11,-11,-33,1,1e+06,1e+06,2021,0.00422842134126102,-0.779354883825237
"Corey Dickerson",404,13,1083,3938,3671,483,1028,618,237,37,136,469,30,25,227,799,0.28,0.323,0.476,0.799,113,1747,71,15,1,21,29,0,14.1,-5.5,54,2,-4,-1,-8,1,2250000,2250000,2022,0.0222677615343541,-0.655899780265019
"Corey Seager",407,32,906,3909,3489,573,1019,606,230,13,170,543,17,7,362,692,0.292,0.361,0.512,0.873,134,1785,77,32,0,26,33,19.8,32.7,4.1,155,1,3,4,-3,10,3.25e+08,32500000,2021,0.458819794207207,2.33171372589224
"Curt Casali",414,6.6,502,1454,1259,145,277,171,58,1,47,154,2,2,156,401,0.22,0.314,0.38,0.694,88,478,19,20,11,8,7,1.7,4.9,4.2,-18,-2,-3,-5,17,1,3250000,3250000,2022,0.0366992336888286,-0.557135697416846
"Daniel Robertson",437,2.1,299,945,801,105,182,127,34,3,18,78,5,5,111,243,0.227,0.338,0.345,0.683,88,276,23,26,2,5,1,-1.1,3.1,-0.2,-8,0,-2,-2,-12,1,9e+05,9e+05,2020,0.00278527412581357,-0.789231292110054
"Danny Mendick",443,0.3,184,515,472,57,114,85,16,2,11,49,2,2,36,116,0.242,0.298,0.354,0.652,79,167,8,3,2,2,0,-1.4,0.8,0.1,-14,0,0,0,-4,1,1e+06,1e+06,2022,0.00422842134126102,-0.779354883825237
"Dansby Swanson",445,19.5,974,4025,3608,514,913,587,186,16,124,491,67,23,356,974,0.253,0.322,0.417,0.739,95,1503,49,24,9,28,36,6.7,16.4,8.6,-29,7,6,13,34,7,1.77e+08,25285714,2022,0.354707026683792,1.61920138569782
"Darin Ruf",449,1.3,581,1690,1469,198,351,212,69,3,67,205,6,1,180,460,0.239,0.329,0.427,0.756,108,627,39,25,1,15,4,-4.1,3.9,-5.5,21,-4,-2,-6,-24,1,720000,720000,2022,0.000187609138008168,-0.807008827022725
"David Dahl",458,0.5,331,1249,1152,169,312,191,64,14,43,161,17,8,76,326,0.271,0.317,0.463,0.78,95,533,13,7,3,11,4,-3.5,2,-2.4,-12,3,0,3,-13,1,2700000,2700000,2020,0.0287619240038676,-0.611455942983341
"David Peralta",464,15.7,1141,4330,3952,491,1103,711,227,48,117,541,37,16,314,837,0.279,0.335,0.45,0.784,108,1777,78,32,1,31,20,1.8,15.1,-3.5,39,10,4,15,11,1,6500000,6500000,2022,0.0836015181908707,-0.23615242816028
"Didi Gregorius",487,17.8,1077,4259,3893,503,999,658,180,27,134,530,37,16,254,612,0.257,0.308,0.42,0.728,95,1635,50,52,15,43,19,3.4,19.5,4.3,-23,10,5,15,-19,2,2.8e+07,1.4e+07,2020,0.191837559349429,0.504578193201024
"Dominic Smith",505,1.1,600,1959,1771,204,440,279,99,4,58,225,4,4,142,425,0.248,0.313,0.407,0.721,97,721,39,32,0,14,3,-5.3,2.2,-3.9,-8,0,-4,-4,-10,1,2e+06,2e+06,2022,0.0186598934957355,-0.680590800977063
"Donovan Solano",507,6.5,820,2697,2452,248,683,515,127,9,32,244,13,4,169,504,0.279,0.334,0.377,0.711,95,924,52,44,14,18,8,-2.2,8,-0.9,-6,1,-3,-3,-13,1,2e+06,2e+06,2022,0.0186598934957355,-0.680590800977063
"Eddie Rosario",539,12.4,1030,4028,3768,533,1011,634,189,29,159,548,56,27,210,790,0.268,0.305,0.46,0.766,104,1735,56,4,13,33,16,-1.2,12.2,-3.3,2,9,9,18,-1,2,1.8e+07,9e+06,2021,0.119680198577057,0.0107577789601545
"Eduardo Escobar",545,12,1363,5121,4691,593,1185,728,247,46,164,636,23,18,351,1043,0.253,0.305,0.43,0.735,98,2016,64,23,14,42,25,-5.1,17.8,-2.2,-31,9,-4,5,-56,2,2e+07,1e+07,2021,0.134111670731531,0.109521861808328
"Ehire Adrianza",556,0.8,616,1550,1368,183,325,220,75,9,21,149,19,8,127,301,0.238,0.308,0.352,0.659,80,481,20,19,17,17,5,-4.4,2.2,-0.4,-39,2,-1,1,-15,1,1500000,1500000,2021,0.0114441574184983,-0.72997284240115
"Elvis Andrus",567,34,2059,8603,7772,1058,2091,1558,380,51,102,775,347,115,611,1206,0.269,0.325,0.37,0.695,86,2879,197,57,104,58,8,5,35.7,10.2,-110,2,53,55,-18,1,3e+06,3e+06,2022,0.03309136565021,-0.581826718128889
"Eric Haase",581,2.6,323,1078,997,113,224,143,37,3,41,137,6,1,69,317,0.225,0.276,0.391,0.667,84,390,32,4,1,7,2,-1,2.7,1,-17,-3,0,-3,-1,1,1e+06,1e+06,2023,0.00422842134126102,-0.779354883825237
"Eric Hosmer",583,18.6,1689,6977,6349,812,1753,1213,322,20,198,893,76,30,562,1235,0.276,0.335,0.427,0.762,107,2709,167,23,3,40,53,-5,21.3,-11.5,58,7,-2,5,-23,1,720000,720000,2022,0.000187609138008168,-0.807008827022725
"Evan Longoria",602,58.6,1986,8206,7306,1017,1930,1131,431,26,342,1159,58,19,730,1696,0.264,0.333,0.471,0.804,119,3439,206,72,1,97,87,30.5,48.8,13.4,179,-15,1,-14,95,1,4e+06,4e+06,2022,0.0475228378046845,-0.483062635280715
"Franchy Cordero",617,-0.7,251,797,722,100,157,88,37,5,27,87,13,5,66,278,0.217,0.283,0.395,0.678,83,285,4,1,5,3,1,-3.3,0.7,-2.3,-15,2,3,6,-13,1,1e+06,1e+06,2022,0.00422842134126102,-0.779354883825237
"Freddie Freeman",629,55.7,1885,8098,7016,1217,2114,1291,473,29,321,1143,89,28,932,1535,0.301,0.388,0.514,0.902,142,3608,146,97,0,53,126,30.8,55.9,-10.6,408,-4,3,0,3,6,1.62e+08,2.7e+07,2021,0.379446697357597,1.78851127022728
"Garrett Hampson",641,1.5,517,1531,1379,196,333,230,56,18,29,113,57,13,121,408,0.241,0.305,0.371,0.676,73,512,15,8,14,9,3,-3.5,2.1,0.6,-55,4,11,15,-4,1,2e+06,2e+06,2023,0.0186598934957355,-0.680590800977063
"George Springer",656,36.2,1160,5175,4512,802,1206,742,203,19,242,656,86,39,547,1089,0.267,0.354,0.482,0.835,128,2173,91,71,2,28,11,19.5,33.6,0.1,186,-1,2,1,23,6,1.5e+08,2.5e+07,2020,0.350583753048648,1.59098310453094
"Hanser Alberto",686,4.3,488,1477,1404,160,378,273,75,8,22,137,12,7,36,182,0.269,0.292,0.381,0.673,80,535,27,12,17,8,1,-0.6,2.5,2.9,-33,-1,0,0,16,1,1600000,1600000,2021,0.0128873046339457,-0.720096434116333
"Harrison Bader",689,12.1,635,2108,1895,273,460,301,87,13,59,217,77,18,154,512,0.243,0.31,0.396,0.706,92,750,22,39,4,16,14,5.3,7,6.2,-20,3,10,13,52,1,10500000,10500000,2023,0.141327406808769,0.158903903232415
"Hunter Renfroe",713,10.3,841,3231,2938,405,702,359,162,4,177,454,14,4,245,821,0.239,0.3,0.478,0.777,108,1403,55,21,2,25,6,-0.2,9.2,-2.1,30,-1,-9,-10,12,2,1.3e+07,6500000,2023,0.0836015181908707,-0.23615242816028
"Isiah Kiner-Falefa",728,10,647,2415,2213,273,577,450,91,10,26,203,74,24,147,375,0.261,0.314,0.346,0.66,81,766,65,31,11,13,5,2,6,6.9,-54,-1,6,5,38,2,1.5e+07,7500000,2023,0.0980329903453451,-0.137388345312106
"J.D. Martinez",735,30,1522,6370,5718,851,1639,935,366,23,315,1002,26,11,552,1573,0.287,0.35,0.524,0.874,133,2996,178,34,0,59,54,8.9,33.3,-12.4,245,-18,-19,-38,-38,1,1e+07,1e+07,2022,0.134111670731531,0.109521861808328
"J.T. Realmuto",741,33.3,1140,4579,4168,589,1136,714,235,33,154,578,94,23,303,945,0.273,0.33,0.456,0.785,112,1899,87,68,1,34,18,18.6,31.3,8.9,76,6,18,25,23,5,115500000,23100000,2020,0.323163955955147,1.40333134711941
"Jace Peterson",743,3.5,873,2753,2393,274,545,385,100,18,42,244,77,23,307,611,0.228,0.318,0.337,0.656,81,807,44,19,17,17,14,-5.4,3.8,0.4,-63,5,5,10,-4,2,9500000,4750000,2022,0.0583464419205403,-0.408989573144585
"Jackie Bradley Jr.",749,16.9,1181,4192,3735,514,839,499,204,27,109,449,69,18,361,1066,0.225,0.303,0.381,0.684,82,1424,64,66,8,22,17,2.6,8.4,10.3,-91,12,7,19,78,2,2.4e+07,1.2e+07,2020,0.16297461504048,0.307050027504676
"Jacob Stallings",760,4.6,451,1512,1343,129,315,229,61,1,24,148,1,1,141,330,0.235,0.312,0.335,0.647,77,450,41,13,7,8,6,-0.3,2.1,5.2,-39,-4,-9,-13,25,1,2e+06,2e+06,2023,0.0186598934957355,-0.680590800977063
"Jake Marisnick",782,12,877,2247,2053,287,469,293,96,15,65,223,81,32,119,671,0.228,0.281,0.385,0.666,81,790,36,37,23,14,6,4.3,3.2,9.6,-56,3,5,7,80,1,1300000,1300000,2021,0.00855786298760336,-0.749725658970785
"James McCann",801,7.3,852,3074,2828,290,683,470,119,10,84,342,14,10,181,791,0.242,0.294,0.38,0.674,83,1074,80,37,10,18,2,-3.2,7,5.5,-63,-9,-11,-19,1,4,40600000,10150000,2020,0.136276391554703,0.124336474235554
